Time,Source,Destination,Protocol,Length
1757861974.007259,192.168.75.71,192.168.75.10,TCP,74
1757861974.007293,192.168.75.10,192.168.75.71,TCP,54
1757861974.201056,192.168.75.71,192.168.75.10,TCP,74
1757861974.20111,192.168.75.10,192.168.75.71,TCP,54
1757861974.204919,20.42.73.28,192.168.75.10,TLS,153
1757861974.206647,192.168.75.10,20.42.73.28,TLS,491
1757861974.329377,192.168.75.10,20.50.88.241,TCP,54
1757861974.383461,192.168.75.71,192.168.75.10,TCP,74
1757861974.383513,192.168.75.10,192.168.75.71,TCP,54
1757861974.537544,20.42.73.28,192.168.75.10,TLS,1454
1757861974.543262,20.42.73.28,192.168.75.10,TCP,1454
1757861974.543427,192.168.75.10,20.42.73.28,TCP,54
1757861974.54457,20.42.73.28,192.168.75.10,TCP,1454
1757861974.544923,20.42.73.28,192.168.75.10,TLS,345
1757861974.545077,192.168.75.10,20.42.73.28,TCP,54
1757861974.547496,192.168.75.10,20.42.73.28,TLS,1454
1757861974.547496,192.168.75.10,20.42.73.28,TLS,656
1757861974.572201,192.168.75.71,192.168.75.10,TCP,74
1757861974.572256,192.168.75.10,192.168.75.71,TCP,54
1757861974.58941,20.50.88.241,192.168.75.10,TCP,54
1757861974.589659,192.168.75.10,20.50.88.241,TCP,54
1757861974.773486,192.168.75.71,192.168.75.10,TCP,74
1757861974.773544,192.168.75.10,192.168.75.71,TCP,54
1757861974.95083,192.168.75.71,192.168.75.10,TCP,74
1757861974.950884,192.168.75.10,192.168.75.71,TCP,54
1757861975.002428,20.42.73.28,192.168.75.10,TCP,54
1757861975.002428,20.42.73.28,192.168.75.10,TLS,157
1757861975.033444,20.42.73.28,192.168.75.10,TLS,519
1757861975.033611,192.168.75.10,20.42.73.28,TCP,54
1757861975.034484,192.168.75.10,20.42.73.28,TLS,78
1757861975.034711,192.168.75.10,20.42.73.28,TCP,54
1757861975.48212,20.42.73.28,192.168.75.10,TCP,54
1757861976.253864,192.168.75.10,20.42.73.28,TCP,66
1757861976.254875,192.168.75.71,192.168.75.10,TCP,74
1757861976.254935,192.168.75.10,192.168.75.71,TCP,54
1757861976.764105,192.168.75.71,192.168.75.10,TCP,74
1757861976.764105,20.42.73.28,192.168.75.10,TCP,66
1757861976.764168,192.168.75.10,192.168.75.71,TCP,54
1757861976.764941,192.168.75.10,20.42.73.28,TCP,54
1757861976.766173,192.168.75.10,20.42.73.28,TLS,571
1757861977.173555,192.168.75.71,192.168.75.10,TCP,74
1757861977.175806,192.168.75.10,192.168.75.71,TCP,54
1757861977.297635,20.42.73.28,192.168.75.10,TLS,153
1757861977.297635,192.168.75.71,192.168.75.10,TCP,74
1757861977.297765,192.168.75.10,192.168.75.71,TCP,54
1757861977.29908,192.168.75.10,20.42.73.28,TLS,491
1757861977.730171,192.168.75.71,192.168.75.10,TCP,74
1757861977.730171,20.42.73.28,192.168.75.10,TLS,1454
1757861977.730224,192.168.75.10,192.168.75.71,TCP,54
1757861977.73036,20.42.73.28,192.168.75.10,TCP,1454
1757861977.730545,192.168.75.10,20.42.73.28,TCP,54
1757861977.844896,20.42.73.28,192.168.75.10,TCP,1454
1757861977.844896,20.42.73.28,192.168.75.10,TLS,345
1757861977.845172,192.168.75.10,20.42.73.28,TCP,54
1757861977.848727,192.168.75.10,20.42.73.28,TLS,1454
1757861977.848727,192.168.75.10,20.42.73.28,TLS,656
1757861977.891566,192.168.75.10,1.2.3.4,TCP,66
1757861977.916229,192.168.75.71,192.168.75.10,TCP,74
1757861977.916317,192.168.75.10,192.168.75.71,TCP,54
1757861978.053489,192.168.75.71,192.168.75.10,TCP,74
1757861978.053548,192.168.75.10,192.168.75.71,TCP,54
